Date,PC1
2010-01-31,-4.913615310833554
2010-02-28,-4.852579427342309
2010-03-31,-4.79241196682318
2010-04-30,-4.777581122061084
2010-05-31,-4.357302992909744
2010-06-30,-4.200565364462334
2010-07-31,-4.045039412991084
2010-08-31,-3.854480299870872
2010-09-30,-3.7799822821759004
2010-10-31,-3.6926137989325003
2010-11-30,-3.8540053744187825
2010-12-31,-3.837594735934647
2011-01-31,-2.68201954445531
2011-02-28,-2.764637947763195
2011-03-31,-2.5193206245306095
2011-04-30,-2.5776130857218362
2011-05-31,-2.370088553914963
2011-06-30,-2.27883943900753
2011-07-31,-2.1842937849769917
2011-08-31,-1.715293589032069
2011-09-30,-1.559389088508061
2011-10-31,-1.5124179469665957
2011-11-30,-1.3692925930903304
2011-12-31,-1.275147739370816
2012-01-31,-1.1202750155602021
2012-02-29,-1.0415566279729789
2012-03-31,-1.1260679637001958
2012-04-30,-0.9569647912581589
2012-05-31,-0.8228797180937166
2012-06-30,-0.7449753984757004
2012-07-31,-0.6747949585738818
2012-08-31,-0.7214097456659401
2012-09-30,-0.6087711102970624
2012-10-31,-0.5366684634057082
2012-11-30,-0.44083174088901705
2012-12-31,-0.4891275324211184
2013-01-31,-0.39645888485407305
2013-02-28,-0.22634319445175993
2013-03-31,-0.16407003918123741
2013-04-30,-0.12322880570222833
2013-05-31,-0.19461595492930056
2013-06-30,-0.3344227284242596
2013-07-31,-0.43554624025102356
2013-08-31,-0.39431691181949025
2013-09-30,-0.3587673548559817
2013-10-31,-0.2676966438928218
2013-11-30,-0.19812258253146325
2013-12-31,-0.16972448674835053
2014-01-31,1.020821464852065
2014-02-28,1.1746767680695736
2014-03-31,1.3241287366288634
2014-04-30,1.4884166331634399
2014-05-31,1.6109256897894153
2014-06-30,1.7044266838777138
2014-07-31,1.7429148593030492
2014-08-31,1.8020872598796194
2014-09-30,1.834953969256138
2014-10-31,1.9919073157858949
2014-11-30,2.006619887143157
2014-12-31,2.09608499160564
2015-01-31,1.4224149016050895
2015-02-28,1.374847824299499
2015-03-31,1.3619710984411684
2015-04-30,1.362880873679359
2015-05-31,1.1784222507809312
2015-06-30,1.1785536386752664
2015-07-31,1.3180349795851418
2015-08-31,1.3999647911621944
2015-09-30,1.3601081437521316
2015-10-31,1.3480075270440701
2015-11-30,1.1619943678287048
2015-12-31,1.212607416428701
2016-01-31,1.5845635261776685
2016-02-29,1.6599005839418473
2016-03-31,1.5172808528643724
2016-04-30,1.627186194713298
2016-05-31,1.7017613733679124
2016-06-30,1.8609255013993575
2016-07-31,1.966176008108437
2016-08-31,1.9332494649029435
2016-09-30,1.8999897629085247
2016-10-31,1.9004336648280666
2016-11-30,1.7429896163621783
2016-12-31,1.7911970131471753
2017-01-31,2.0185495484700913
2017-02-28,2.0296205471619158
2017-03-31,2.21420122903901
2017-04-30,2.519764935663634
2017-05-31,2.5274660817783245
2017-06-30,2.7357532570535517
2017-07-31,2.730692015334559
2017-08-31,2.7635873295988818
2017-09-30,2.8666136668029756
2017-10-31,2.974115465236596
2017-11-30,3.0537362403668746
2017-12-31,3.2162369681849543
